REQ-ID,PHASE ESTIMATE,PROCESS,REQUIREMENT ,DETAILS/CONTEXT,NEW FUNCTIONALITY?,Jake Notes,Phase 1,Future,,,,,,,,,,
SWP-M-39,Phase 1,,Check out page must give option for buyer to add additional emails for post-sale notifications,This gives them the ability to have tracking automatically sent to engineer or other person,no,,,,,,,,,,,,,
SWP-M-40,Phase 1,,"Check out page must contain a 'Special Instructions' text box. If text is entered here, it must display on the PO notification email received by the vendor AND on the PO view once the vendor clicks in",,No,,,,,,,,,,,,,
SWP-M-41,Phase 1,,Notification to vendor must fire when buyer presses 'Submit PO to Vendor' button. ,"Notification will be the ""Congratulations, you have a PO!"" template",No,,,,,,,,,,,,,
SWP-M-42,Phase 1,,"After Customer submits their PO, Customer should see completed PO record with attachments and a 'Thank you for your order!' confirmation of some sort.  If they X out of this, they should be taken back to their home page. ",,No,,,,,,,,,,,,,
SWP-M-43,Phase 1,,"Once Vendor Ships Order, PO moves to 'Order History' on SWP Buyer Homepage",,,,,,,,,,,,,,,
SWP-M-44,Phase 1,,"Order History must list the following columns: PO#, Vednor, Description (material purchased), Quantity, Net Unit Amount, Serial #'s, Tracking Numeber, RMA #, Purchase Date, and ability to click into the PO record and view purchase details",,,,,,,,,,,,,,,
SWP-M-45,Phase 1,,"PO Record must allow buyer to view hard copy PO, materials purchased, the ability to click and view the SRC and access EMA records and (post shipment) the Tracking, SN adn RMA #",,,,,,,,,,,,,,,
SWP-M-46,Phase 1 - Discuss,,Customer must be able to initiate a warranty replacement order off of the original Req,Reqs are tied together for easy viewing / reporting. Impacts notifications and vendors,YES,,,,,,,,,,,,,
SWP-S-1,Phase 2?,,Ability for a Customer to Indicate what was purchased but process order outside of portal,"Currently customer has to add SRC to cart and check up, requiring them to upload a PO and submit. Many large hospitals have completely separate teams or automated systems that will generate the PO and send them. We need a solution to allow for us to still track purchasing information, but not require the sending of the PO through the portal",Yes,We could have a specific inbox that could try to automate this? Require the PO to reference something or supplier of some kind,,,,,,,,,,,,
SWP-S-2,Phase 1 - Discuss,,FAQ tab on SWP Homepage ,"A place where buyers can access training videos, tips and tricks, release updates, etc",Yes,,,,,,,,,,,,,
SWP-S-3,Phase 1 - Discuss,,Materials should show customers and vendors System information,"Currently portal visability prevents them from seeing the system, it only shows description, modality and manufacturer.",Yes,"what is ""system"" info",,,,,,,,,,,,
SWP-S-4,Phase 1,,"From the Pending Orders View, the Customer should be able to select 'Cancel PO'","To cancel an order, it would need to update the status of the PO to 'Cancelled' , fire an email notification to vendor telling them the PO was cancelled, and move record into Order History with a visual or designator that it was cancelled. We should record and communicate WHY the order was cancelled ",Yes,"I would assume you can cancel up until the vendor marks the order ""shipped"" or something",,,,,,,,,,,,
SWP-S-5,Phase 1,,"If Order was cancelled, the customer should get a Pop up asking if they want to close out the Requisition as Not Needed or to purchase a different SRC (ie: They can add another option to the cart and check out again, as the record was re-opened once they cancelled their first PO)",,Yes,,,,,,,,,,,,,
SWP-S-6,Phase 1,Check Out / Purchase Process,"After customer submits order and goes to PO Confirmaiton view, it should tell them next steps","Next, your vendor should confirm your order and ship your part. To view status, please monitor your Pending Orders",,,,,,,,,,,,,,
SWP-S-7,Phase 1,,"Once customer chooses Req Item(s) desired in Checkout Process, the remaining Req Item(s) should move to canceled or archived (pop up question or automatically)",,Yes,I would like to think the remaining items COULD be sourced from a different vendor,,,,,,,,,,,,
SWP-C-1,Phase 1 - Let's talk about it,,Ability for an account to have multiple profiles ,We have customers who want to be in SWP but have existing Service Window accounts and cannot currenlty have both,Yes,,,,,,,,,,,,,
SWP-C-2,Phase 1 - Let's talk about it,,Interactive Help features / chat bot,"If they get stuck currently, they don't have immediate info on who to contact / what to do",,,,,,,,,,,,,,
SWP-C-3,Phase 2,,Ability for Customer to Export Views / Data from portal,,,,,,,,,,,,,,,
SWP-C-4,Phase 1?,,Customers should have the ability to chat on the order record in addition to the SRC record ,We don't love this feature currently and would be interested in seeing an alternative ,No,,,,,,,,,,,,,
SWP-C-5,Phase 1 - Let's talk about it,,Customer could have the ability to export views from SWP into excel (ex: Order history view),,Yes,,,,,,,,,,,,,
SWP-C-6,Phase 2,,Customer could have further prompts / training on how to filter through the veiws they have,Currently they can filter but it is not intuitive or user friendly and no one does it ,Yes,,,,,,,,,,,,,
SWP-C-7,Phase 1 - Refresh / Realtime?,,"Refresh mode, to select a page refresh timer (1, 2, 5 minutes etc)",,,,,,,,,,,,,,,
SWP-N-1,Phase 1,,Any connection to Legendary - and fully agnostic to Block's SF org,,,,,,,,,,,,,,,
